#{"t_start": 1721770740.9424355, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
745.0,4503,888.859694
775.0,3486,889.851555
450.0,4209,891.070912
570.0,4232,892.272333
545.0,3018,893.125397
485.0,2961,893.988864
600.0,4847,895.358572
800.0,5511,896.93705
305.0,3390,897.895921
515.0,3295,901.966032
105.0,1953,902.52967
800.0,4253,903.730818
365.0,2787,904.531051
800.0,5727,906.155514
755.0,4554,907.476265
455.0,4081,908.644135
550.0,3815,909.71367
600.0,4119,910.878551
600.0,4741,912.206089
475.0,3251,913.150994
545.0,3349,914.097054
775.0,4493,915.362062
745.0,3495,916.368064
580.0,3393,917.345627
175.0,1659,917.810102
690.0,3797,918.876046
605.0,4113,920.053296
870.0,4401,921.300106
540.0,3693,922.337461
1000.0,4379,923.606215
970.0,3884,924.709907
1185.0,7391,926.833076
485.0,4359,928.066518
490.0,4069,929.196108
805.0,4473,933.237965
275.0,2901,934.084513
270.0,3111,934.997136
350.0,2639,935.757158
480.0,3479,936.753043
600.0,5143,938.221928
725.0,3243,939.133599
600.0,4997,940.524265
885.0,3313,941.471331
600.0,4611,942.781665
660.0,3765,943.864562
600.0,4755,945.203943
545.0,4016,946.352652
925.0,3435,947.334008
605.0,3421,948.285672
325.0,3205,949.208171
405.0,2241,949.851317
515.0,4181,951.06412
540.0,3565,952.065963
605.0,4473,953.31198
800.0,3913,954.416666
1000.0,4561,955.710252
325.0,2156,956.331985
440.0,3499,957.321818
520.0,3415,958.301526
465.0,3465,959.279419
435.0,4207,960.465099
485.0,3841,961.530365
755.0,4587,966.566802
610.0,3683,967.60824
670.0,3377,968.576384
670.0,5225,970.040171
450.0,4163,971.211213
465.0,3663,972.233755
545.0,3450,973.196239
545.0,3372,974.144731
305.0,2455,974.840781
440.0,3481,975.8275
415.0,3712,976.883763
470.0,3721,977.95302
600.0,4091,979.092859
475.0,4021,980.256373
490.0,3577,981.268443
575.0,4281,982.47047
440.0,3957,983.586684
675.0,4077,984.720698
1000.0,5063,986.1295
225.0,2369,986.804198
970.0,4257,988.019886
600.0,3401,988.969497
415.0,2991,989.819172
545.0,4223,991.036507
800.0,4183,992.20546
745.0,3570,993.212784
515.0,3985,998.09335
750.0,3664,999.153311
530.0,4723,1000.507129
390.0,2327,1001.175532
470.0,3723,1002.215815
515.0,3645,1003.237794
580.0,3544,1004.233549
515.0,3424,1005.216491
710.0,3107,1006.079761
880.0,5077,1007.507621
580.0,4316,1008.731678
800.0,3585,1009.765818
745.0,3991,1010.87849
470.0,4339,1012.116849
570.0,3795,1013.174896
785.0,3763,1014.244294
600.0,3921,1015.351255
550.0,3903,1016.473317
600.0,4251,1017.654776
470.0,3925,1018.762091
720.0,3571,1019.766972
605.0,4085,1020.908865
430.0,3721,1021.954693
770.0,4275,1023.16419
470.0,3891,1024.26306
610.0,3419,1025.237058
570.0,5323,1030.088541
690.0,4675,1031.414494
485.0,3559,1032.41563
445.0,3575,1033.439055
580.0,3521,1034.431119
515.0,4361,1035.649479
490.0,4053,1036.779612
570.0,4464,1038.025499
410.0,2591,1038.757905
465.0,4129,1039.917282
470.0,4405,1041.189677
440.0,4115,1042.371922
600.0,4785,1043.724144
600.0,4167,1044.883815
710.0,4075,1046.032274
495.0,3781,1047.073439
745.0,4016,1048.19313
600.0,3643,1049.222129
570.0,4601,1050.521133
520.0,4160,1051.683937
460.0,2455,1052.387268
805.0,3417,1053.368396
600.0,4265,1054.568565
490.0,3103,1055.463992
600.0,4113,1056.618001
440.0,3779,1057.679202
550.0,3419,1062.025915
1325.0,8351,1064.342466
605.0,3919,1065.426798
600.0,3929,1066.519264
865.0,3489,1067.508817
590.0,3219,1068.401064
645.0,5425,1069.918543
430.0,3263,1070.857646
725.0,3221,1071.774658
530.0,3477,1072.757708
645.0,3459,1073.747623
160.0,1955,1074.32283
540.0,4271,1075.531468
545.0,4297,1076.743064
750.0,4458,1077.998091
700.0,3887,1079.075914
515.0,3618,1080.091779
1000.0,3925,1081.179577
525.0,4093,1082.319206
600.0,3937,1083.407098
360.0,4407,1084.658159
575.0,4155,1085.837331
550.0,4947,1087.230059
800.0,4179,1088.388634
575.0,3991,1089.491816
320.0,2369,1093.408993
450.0,3265,1094.345065
545.0,3881,1095.430051
570.0,4201,1096.636705
530.0,4735,1097.955084
180.0,1703,1098.445672
745.0,3785,1099.530071
1175.0,7336,1101.574676
545.0,3529,1102.564837
545.0,3739,1103.63597
760.0,6031,1105.348824
610.0,3895,1106.424333
270.0,2765,1107.216638
850.0,5405,1108.742953
670.0,3751,1109.826671
800.0,4191,1110.999747
850.0,4005,1112.143701
515.0,4899,1113.51879
775.0,4381,1114.744149
860.0,4915,1116.127409
715.0,4559,1117.398099
545.0,4611,1118.693183
770.0,3905,1119.794677
575.0,3857,1120.880837
325.0,2596,1121.632343
455.0,3471,1125.739063
310.0,2841,1126.554743
810.0,4581,1127.870498
305.0,2369,1128.559249
415.0,3591,1129.55481
490.0,3473,1130.536013
515.0,2881,1131.371917
455.0,2361,1132.046603
985.0,6743,1133.954507
570.0,3783,1135.002309
880.0,3329,1135.946755
230.0,2639,1136.709998
745.0,3593,1137.70707
800.0,3465,1138.686639
800.0,3845,1139.797175
470.0,3835,1140.891277
555.0,4007,1142.00694
545.0,3595,1143.02638
605.0,3915,1144.133904
375.0,2569,1144.868307
650.0,4841,1146.244855
470.0,3113,1147.135288
425.0,3335,1148.090721
325.0,2455,1148.782441
575.0,3913,1149.868669
515.0,3243,1150.792717
550.0,4475,1152.055079
605.0,3891,1153.142955
460.0,4181,1157.496709
305.0,2427,1158.191217
495.0,3521,1159.226269
915.0,6343,1161.043431
620.0,3633,1162.063779
800.0,3489,1163.046935
600.0,3843,1164.116097
585.0,3531,1165.110686
515.0,3617,1166.13754
210.0,2267,1166.786015
570.0,4403,1168.017546
1150.0,8289,1170.33781
660.0,3603,1171.352724
540.0,4325,1172.565166
525.0,3717,1173.599037
575.0,4126,1174.764342
1045.0,5285,1176.254123
575.0,4254,1177.451542
570.0,4289,1178.662925
350.0,3077,1179.535887
1225.0,7509,1181.637412
565.0,3275,1182.573181
535.0,3930,1183.692676
465.0,4005,1184.847997
