#{"t_start": 1721770740.9424355, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
220.0,2413,97.969021
275.0,2167,98.601717
105.0,1179,98.93337
105.0,1471,99.354292
135.0,1865,99.883121
130.0,1963,100.450486
165.0,1831,100.967379
175.0,2917,101.824201
175.0,2967,102.678622
440.0,3555,103.690439
260.0,3239,104.616677
350.0,4059,105.768065
200.0,2027,106.35312
160.0,2075,106.94519
105.0,1879,107.481953
190.0,2337,108.150617
105.0,1513,108.585678
185.0,1905,109.119621
130.0,2087,109.710831
190.0,2085,110.294163
270.0,2745,111.073164
325.0,3197,114.16363
250.0,3265,115.092808
75.0,1047,115.394626
215.0,2945,116.243469
365.0,3553,117.258972
110.0,1337,117.656105
160.0,2759,118.448917
315.0,3545,119.453342
260.0,2505,120.16939
140.0,2323,120.837333
120.0,1989,121.416546
525.0,3909,122.53104
310.0,2935,123.373674
105.0,1723,123.866617
65.0,2079,124.469859
475.0,3421,125.449682
240.0,2539,126.168856
185.0,2047,126.749052
105.0,1867,127.282593
120.0,3701,128.356064
270.0,2163,128.981533
370.0,3483,129.962836
230.0,2573,130.697292
135.0,2363,131.373159
800.0,5649,132.964206
300.0,2923,133.791092
215.0,2493,134.500197
210.0,4213,135.713545
380.0,3321,136.662019
335.0,2393,137.343224
415.0,3687,138.404317
120.0,1913,138.948151
215.0,1883,139.477331
910.0,6453,141.292891
185.0,1857,141.827003
325.0,3775,142.886765
195.0,1917,145.439882
70.0,1127,145.754868
450.0,3431,146.724346
225.0,2551,147.432491
130.0,2009,147.999815
225.0,2861,148.813589
405.0,2033,149.392976
355.0,2673,150.156641
215.0,2971,151.008291
405.0,2681,151.784069
230.0,2325,152.448899
435.0,2307,153.1095
210.0,2263,153.754378
330.0,3061,154.627569
490.0,4179,155.823878
185.0,2095,156.414088
235.0,2203,157.04499
80.0,1563,157.490015
375.0,3469,158.493242
295.0,3329,159.435463
235.0,2505,160.162165
370.0,3067,161.03188
150.0,2395,161.699623
135.0,1945,162.246985
185.0,2439,162.933678
300.0,2867,163.77661
195.0,1959,164.337265
290.0,3223,165.256127
430.0,3849,166.343355
260.0,2481,167.047516
400.0,3379,168.004629
210.0,2555,168.716165
275.0,2415,169.400632
330.0,2811,170.187799
610.0,4049,171.318965
245.0,2235,171.948424
300.0,2753,172.741658
170.0,1925,173.289414
265.0,2913,176.755124
25.0,1475,177.166096
175.0,2015,177.746342
440.0,3391,178.720499
305.0,2181,179.33509
100.0,2811,180.141506
215.0,2141,180.747427
235.0,3303,181.682007
185.0,2481,182.387369
270.0,2935,183.217275
275.0,2757,184.012376
205.0,2019,184.592673
230.0,2081,185.191118
200.0,2079,185.7862
265.0,2481,186.524897
280.0,2315,187.178719
275.0,2777,187.973425
135.0,1887,188.506665
480.0,3301,189.43627
225.0,2939,190.277397
500.0,3091,191.151719
325.0,3313,192.104384
230.0,2455,192.808585
90.0,1091,193.112057
160.0,1193,193.453582
520.0,3103,194.340223
270.0,3147,195.239267
270.0,2791,196.026505
270.0,2753,196.804684
255.0,2633,197.565577
300.0,2391,198.249373
340.0,3977,199.395004
190.0,1999,199.976193
325.0,3691,201.039937
225.0,2733,201.825112
300.0,3275,202.762662
185.0,2785,203.549739
205.0,2045,204.138585
310.0,3133,205.034128
65.0,1597,205.486497
280.0,2451,207.955383
395.0,3565,208.967272
450.0,3531,209.966504
310.0,2421,210.64978
65.0,1173,210.988244
255.0,2969,211.835553
275.0,3099,212.730384
200.0,2243,213.384392
125.0,1977,213.947074
240.0,2813,214.745111
230.0,2055,215.328979
155.0,2125,215.932976
270.0,2565,216.667779
275.0,3287,217.621019
140.0,2645,218.384783
155.0,1947,218.937134
170.0,2081,219.53056
180.0,1981,220.103394
200.0,2049,220.688196
40.0,1181,221.022498
190.0,2757,221.804573
265.0,3095,222.686086
75.0,1281,223.05003
240.0,3375,224.009019
185.0,1577,224.453901
110.0,2473,225.167789
165.0,1985,225.733144
215.0,2291,226.386913
235.0,2029,226.951656
55.0,1187,227.30298
60.0,1369,227.692263
165.0,2013,228.266286
285.0,2373,228.940562
415.0,2553,229.670614
225.0,3291,230.615676
335.0,2499,231.327447
300.0,2445,232.013367
495.0,2733,232.782083
50.0,1539,233.222739
320.0,3239,234.151294
200.0,1921,234.704772
105.0,1893,235.244008
265.0,2295,235.897097
490.0,3327,238.892799
370.0,3103,239.790336
350.0,2859,240.604305
150.0,1965,241.184593
100.0,1539,241.630078
250.0,3039,242.49841
235.0,2173,243.11154
590.0,4385,244.342502
140.0,1699,244.854371
190.0,2167,245.477297
310.0,2465,246.168181
410.0,3103,247.041147
140.0,1935,247.5966
160.0,1921,248.140723
90.0,1569,248.590286
255.0,3143,249.492103
315.0,2783,250.270614
100.0,1029,250.568385
275.0,2313,251.239728
170.0,1865,251.778882
320.0,3645,252.825279
310.0,2947,253.654179
260.0,2107,254.2587
570.0,4153,255.435071
270.0,2555,256.167581
220.0,3443,257.141381
110.0,1835,257.666313
250.0,2857,258.495477
225.0,2295,259.174841
260.0,2453,259.881057
365.0,3501,260.874448
270.0,2417,261.5619
185.0,2527,262.300962
230.0,2725,263.08155
90.0,1153,263.412898
150.0,2115,264.019388
350.0,2967,264.85677
220.0,2455,265.549357
220.0,2043,266.138602
170.0,1749,266.644084
300.0,2785,267.455566
35.0,1407,269.860995
235.0,2065,270.450929
205.0,2707,271.226147
230.0,2001,271.803268
185.0,2017,272.387843
80.0,1481,272.809729
525.0,3168,273.708734
280.0,2223,274.359508
245.0,2349,275.019156
335.0,2727,275.799584
205.0,2421,276.509975
340.0,2813,277.302955
250.0,2273,277.946488
290.0,2103,278.540543
170.0,1623,279.004909
175.0,1997,279.579604
175.0,2513,280.287282
160.0,1967,280.83759
515.0,3003,281.696013
185.0,1753,282.193038
280.0,2079,282.788406
225.0,1945,283.344696
180.0,3063,284.216401
260.0,2009,284.785665
540.0,3355,285.749428
335.0,3229,286.71978
365.0,3410,287.694367
310.0,2497,288.402572
475.0,2891,289.233235
555.0,4071,290.366309
150.0,2389,291.054985
285.0,3117,291.947546
245.0,1847,292.479309
195.0,1985,293.053915
545.0,2833,293.867315
250.0,3137,294.78688
85.0,1115,295.106707
295.0,2175,295.738563
120.0,1691,296.22286
80.0,1325,296.600533
225.0,2699,297.37716
255.0,2475,298.077955
155.0,1853,298.604427
290.0,2701,301.028764
405.0,3251,301.95453
215.0,2993,302.819719
315.0,2289,303.480259
140.0,1603,303.940961
135.0,1539,304.386796
100.0,1403,304.788809
85.0,1875,305.335335
415.0,2477,306.052266
390.0,2851,306.862967
220.0,1783,307.373899
275.0,3077,308.236763
95.0,2103,308.843704
310.0,2533,309.555562
70.0,1545,310.006077
275.0,1869,310.541183
135.0,1577,310.988417
225.0,2419,311.696167
350.0,2915,312.544917
255.0,2301,313.199716
60.0,1195,313.534087
170.0,2009,314.106651
340.0,3230,315.030657
85.0,1789,315.581542
295.0,3071,316.463888
375.0,2935,317.288286
220.0,2945,318.138883
60.0,1085,318.446558
245.0,2655,319.204462
145.0,1937,319.761087
610.0,3393,320.716289
130.0,1893,321.254081
170.0,2587,321.982316
305.0,3338,322.951796
105.0,1785,323.466532
515.0,3399,324.43629
300.0,2365,325.108015
130.0,1929,325.648208
200.0,2059,326.232302
280.0,2841,327.052161
150.0,2489,327.77547
40.0,1543,328.201669
310.0,2719,328.973529
210.0,1923,329.51973
190.0,1871,331.808846
265.0,2937,332.632634
190.0,1571,333.101419
360.0,2777,333.908534
235.0,2719,334.696265
105.0,2123,335.29686
75.0,1641,335.761928
130.0,2061,336.353296
745.0,3715,337.394433
230.0,2555,338.131735
300.0,3511,339.160763
55.0,1089,339.469217
210.0,3205,340.389147
285.0,2880,341.201614
420.0,3863,342.301614
165.0,1825,342.825983
50.0,1877,343.37038
15.0,1779,343.87689
210.0,1657,344.34175
85.0,1541,344.768911
305.0,3131,345.675272
235.0,2147,346.29516
155.0,1549,346.734593
310.0,2591,347.476021
180.0,1697,347.953505
130.0,2347,348.630227
225.0,2387,349.323679
15.0,1053,349.617646
510.0,3723,350.679223
430.0,2861,351.505064
175.0,1907,352.047475
475.0,3093,352.931204
190.0,2755,353.749917
135.0,1969,354.308933
15.0,1383,354.70454
115.0,1759,355.209812
510.0,3273,356.140793
135.0,3261,357.090508
320.0,3181,358.001404
410.0,3582,359.011912
530.0,3639,360.046163
255.0,3513,363.304142
215.0,2513,364.023703
195.0,1597,364.476424
745.0,3961,365.60599
235.0,2079,366.199046
520.0,3209,367.140535
125.0,1599,367.593081
295.0,2741,368.370147
430.0,2391,369.053551
105.0,1297,369.419779
150.0,2077,370.014733
380.0,2425,370.712981
205.0,1973,371.286304
500.0,6161,373.001916
365.0,2805,373.817633
180.0,1779,374.337256
175.0,2081,374.953561
105.0,1545,375.398689
230.0,2187,376.03197
435.0,4199,377.238472
225.0,1961,377.812167
185.0,1953,378.37202
85.0,1317,378.758575
155.0,2007,379.327038
210.0,2575,380.05453
465.0,3443,381.034647
340.0,2857,381.844773
210.0,1767,382.347966
125.0,1361,382.726455
150.0,1343,383.111516
375.0,1875,383.657786
230.0,2043,384.240528
130.0,2045,384.821213
230.0,3189,385.73804
205.0,1611,386.1995
115.0,1643,386.669901
235.0,2019,387.260243
120.0,1213,387.60198
165.0,2421,388.298895
335.0,2723,389.089587
145.0,1519,389.523844
335.0,2883,390.339287
605.0,3203,391.244965
185.0,2073,391.850963
205.0,1557,394.338747
200.0,2137,394.951927
95.0,1423,395.353617
290.0,2573,396.086842
200.0,2077,396.673633
295.0,2463,397.372089
275.0,1989,397.942624
280.0,2729,398.718459
305.0,2731,399.501085
330.0,2875,400.318736
205.0,1937,400.876405
95.0,2445,401.580468
265.0,2899,402.415615
110.0,1065,402.70787
40.0,1721,403.193105
120.0,1833,403.71994
245.0,2541,404.441871
520.0,4222,405.636641
450.0,3211,406.539336
235.0,2705,407.330244
295.0,2827,408.135803
190.0,2719,408.915469
685.0,3779,409.977208
310.0,2559,410.690582
270.0,2713,411.469081
310.0,2989,412.322661
335.0,2725,413.09778
95.0,1489,413.527114
205.0,2259,414.168786
525.0,3251,415.095554
235.0,2135,415.713781
125.0,1565,416.171348
280.0,2901,416.993786
275.0,2925,417.827703
350.0,2077,418.4122
310.0,3515,419.446179
595.0,3389,420.407663
220.0,3351,421.363867
245.0,2793,422.156528
390.0,2847,422.955765
525.0,2849,426.619404
570.0,2965,427.458393
405.0,3757,428.530625
215.0,2639,429.272285
115.0,1571,429.727658
700.0,3917,430.822819
380.0,3005,431.698777
110.0,1525,432.132832
395.0,2307,432.789882
670.0,3819,433.858024
335.0,2706,434.629439
80.0,1231,434.985713
215.0,2349,435.659355
375.0,3043,436.532346
295.0,2785,437.335979
635.0,4217,438.538875
95.0,1501,438.971464
125.0,1335,439.353832
195.0,2763,440.150752
405.0,3601,441.178777
70.0,1901,441.729676
195.0,2465,442.461909
335.0,3449,443.452482
205.0,2023,444.023155
345.0,2813,444.818791
220.0,2693,445.611316
200.0,2953,446.453602
210.0,2571,447.195762
170.0,2087,447.794817
225.0,2869,448.628514
345.0,2497,449.357435
285.0,2337,450.026456
315.0,2767,450.810479
540.0,3799,451.889103
165.0,2019,452.456398
425.0,3453,453.437838
620.0,3335,454.393831
350.0,2860,455.237714
340.0,2895,457.917583
190.0,3197,458.845854
310.0,2973,459.701642
250.0,2999,460.561123
220.0,2259,461.20421
170.0,2083,461.810786
440.0,2281,462.456812
160.0,2431,463.14027
105.0,1787,463.652087
215.0,2113,464.258656
235.0,2433,464.953772
140.0,1283,465.317389
200.0,1977,465.886262
285.0,3061,466.752373
330.0,2567,467.50219
125.0,2035,468.086198
75.0,1973,468.650758
190.0,2767,469.448797
350.0,2831,470.261752
425.0,3411,471.238274
305.0,2805,472.027995
525.0,3279,472.967044
300.0,2505,473.694991
595.0,3309,474.640447
450.0,4195,475.830554
355.0,2871,476.650293
265.0,2565,477.37884
380.0,4093,478.528296
165.0,1911,479.090181
390.0,3639,480.145378
35.0,1857,480.67575
245.0,2529,481.394973
385.0,2890,482.212144
335.0,2403,482.901797
275.0,2483,483.605517
400.0,3183,484.529434
305.0,3097,485.420162
370.0,2587,486.163212
690.0,3943,490.136275
370.0,3687,491.181858
115.0,1285,491.547626
390.0,2985,492.396807
335.0,2275,493.047285
390.0,3121,493.931644
615.0,4485,495.181357
425.0,3799,496.257506
135.0,1129,496.583655
450.0,3599,497.613153
565.0,3155,498.517046
485.0,4133,499.68321
215.0,2077,500.280999
515.0,3803,501.360969
555.0,4849,502.736865
340.0,2715,503.528454
335.0,2745,504.307285
325.0,3023,505.165499
165.0,2387,505.858799
515.0,2671,506.629851
200.0,2747,507.412722
220.0,2207,508.046695
410.0,2547,508.783544
290.0,2215,509.424889
425.0,3322,510.374378
400.0,3427,511.360113
365.0,3637,512.388254
250.0,2039,512.980157
285.0,2857,513.795485
315.0,2741,514.564979
310.0,2885,515.383848
305.0,2669,516.146643
190.0,2079,516.745406
250.0,2709,517.530303
745.0,4053,520.973771
210.0,2669,521.730616
335.0,2399,522.435716
255.0,2313,523.100135
250.0,3089,523.993439
465.0,3405,524.976655
200.0,2051,525.560432
835.0,4004,526.709581
200.0,2151,527.316954
155.0,1711,527.819514
520.0,2655,528.579519
630.0,3463,529.560998
225.0,2411,530.251618
55.0,1547,530.693322
230.0,1889,531.236911
325.0,3335,532.177417
660.0,3379,533.143135
330.0,2659,533.891732
650.0,4313,535.131337
190.0,1851,535.65952
310.0,2746,536.443953
45.0,1163,536.77618
275.0,2249,537.420711
250.0,2801,538.227948
240.0,2375,538.915643
190.0,2389,539.589548
95.0,1711,540.083861
235.0,2499,540.813414
195.0,2125,541.434593
385.0,3505,542.435181
255.0,2503,543.150192
110.0,2187,543.773727
85.0,2743,544.571186
275.0,2895,545.401722
380.0,4065,546.56223
185.0,1975,547.129818
635.0,4057,548.295758
455.0,3369,549.243399
385.0,3097,552.997711
245.0,2465,553.721371
100.0,1859,554.242718
425.0,3583,555.253139
280.0,2643,555.999377
175.0,1665,556.468005
610.0,4037,557.590861
510.0,3711,558.636387
640.0,3347,559.583396
285.0,3338,560.537759
310.0,2557,561.261543
325.0,2555,561.9858
245.0,2567,562.727596
450.0,3609,563.756438
345.0,2329,564.44513
415.0,3263,565.374125
145.0,1551,565.812307
285.0,3283,566.759725
110.0,1357,567.155942
265.0,2173,567.766205
145.0,2519,568.477829
290.0,2121,569.083952
400.0,3467,570.081702
285.0,2143,570.695771
300.0,2545,571.411875
420.0,2774,572.196996
485.0,2915,573.046892
410.0,2761,573.835889
265.0,2397,574.501551
400.0,2715,575.262961
650.0,2991,576.090688
335.0,2643,576.836699
295.0,3095,577.726157
415.0,3253,578.642144
250.0,2569,579.372726
435.0,4703,580.731591
485.0,3513,584.415416
320.0,2947,585.238849
230.0,2503,585.938539
210.0,2781,586.725465
270.0,2851,587.560612
485.0,4069,588.729464
395.0,2839,589.536766
530.0,4415,590.784662
235.0,3139,591.697507
910.0,4989,593.085101
270.0,2825,593.90901
600.0,4995,595.325956
250.0,2607,596.061283
445.0,3913,597.180212
335.0,2955,598.023154
120.0,2741,598.817901
360.0,3647,599.871646
715.0,4027,601.009637
575.0,3995,602.131987
290.0,2571,602.859243
125.0,1467,603.274021
730.0,3203,604.177032
550.0,4221,605.370799
485.0,3513,606.362669
375.0,3585,607.375942
365.0,3079,608.280748
320.0,3101,609.167435
240.0,2701,609.943381
290.0,2721,610.742532
550.0,4119,611.896408
390.0,2939,612.730195
435.0,5083,616.647207
720.0,3815,617.733826
530.0,3397,618.701502
615.0,3675,619.752314
810.0,3209,620.675491
435.0,2627,621.414495
340.0,3117,622.302342
445.0,3059,623.171599
